...
| rollout/                |              |
|    explained_variance   | 0.0188      |
|    learning_rate        | 0.0001      |
|    loss                 | -0.273      |
|    n_updates            | 20510       |
|    policy_gradient_loss | -0.00231    |
|    std                  | 52.6        |
|    value_loss           | 6.28e-07    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 2053         |
|    time_elapsed         | 52753        |
|    total_timesteps      | 2956320      |
| train/                  |              |
|    approx_kl            | 0.0015396631 |
|    clip_fraction        | 6.94e-05     |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.38        |
|    explained_variance   | -0.0289      |
|    learning_rate        | 0.0001       |
|    loss                 | -0.27        |
|    n_updates            | 20520        |
|    policy_gradient_loss | -0.00127     |
|    std                  | 52.7         |
|    value_loss           | 1.73e-06     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 2053         |
|    time_elapsed         | 52753        |
|    total_timesteps      | 2956320      |
| train/                  |              |
|    approx_kl            | 0.0015396631 |
|    clip_fraction        | 6.94e-05     |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.38        |
|    explained_variance   | -0.0289      |
|    learning_rate        | 0.0001       |
|    loss                 | -0.27        |
|    n_updates            | 20520        |
|    policy_gradient_loss | -0.00127     |
|    std                  | 52.7         |
|    value_loss           | 1.73e-06     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 2054         |
|    time_elapsed         | 52753        |
|    total_timesteps      | 2957760      |
| train/                  |              |
|    approx_kl            | 0.0017215336 |
|    clip_fraction        | 0.000417     |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.38        |
|    explained_variance   | -0.00106     |
|    learning_rate        | 0.0001       |
|    loss                 | -0.275       |
|    n_updates            | 20530        |
|    policy_gradient_loss | -0.00238     |
|    std                  | 52.7         |
|    value_loss           | 1.8e-06      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 2054         |
|    time_elapsed         | 52753        |
|    total_timesteps      | 2957760      |
| train/                  |              |
|    approx_kl            | 0.0017215336 |
|    clip_fraction        | 0.000417     |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.38        |
|    explained_variance   | -0.00106     |
|    learning_rate        | 0.0001       |
|    loss                 | -0.275       |
|    n_updates            | 20530        |
|    policy_gradient_loss | -0.00238     |
|    std                  | 52.7         |
|    value_loss           | 1.8e-06      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 2055         |
|    time_elapsed         | 52753        |
|    total_timesteps      | 2959200      |
| train/                  |              |
|    approx_kl            | 0.0021573002 |
|    clip_fraction        | 0.0138       |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.38        |
|    explained_variance   | 0.0156       |
|    learning_rate        | 0.0001       |
|    loss                 | -0.275       |
|    n_updates            | 20540        |
|    policy_gradient_loss | -0.00227     |
|    std                  | 52.8         |
|    value_loss           | 3.65e-06     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 2055         |
|    time_elapsed         | 52753        |
|    total_timesteps      | 2959200      |
| train/                  |              |
|    approx_kl            | 0.0021573002 |
|    clip_fraction        | 0.0138       |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.38        |
|    explained_variance   | 0.0156       |
|    learning_rate        | 0.0001       |
|    loss                 | -0.275       |
|    n_updates            | 20540        |
|    policy_gradient_loss | -0.00227     |
|    std                  | 52.8         |
|    value_loss           | 3.65e-06     |
------------------------------------------
Eval num_timesteps=2960000, episode_reward=-0.33 +/- 0.00
Episode length: 409512.00 +/- 0.00
------------------------------------------
| eval/                   |              |
|    mean_ep_length       | 4.1e+05      |
|    mean_reward          | -0.326       |
| time/                   |              |
|    total_timesteps      | 2960000      |
| train/                  |              |
|    approx_kl            | 0.0011076636 |
|    clip_fraction        | 0.000278     |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.39        |
|    explained_variance   | -0.00457     |
|    learning_rate        | 0.0001       |
|    loss                 | -0.274       |
|    n_updates            | 20550        |
|    policy_gradient_loss | -0.00144     |
|    std                  | 52.8         |
|    value_loss           | 3.5e-06      |
------------------------------------------
Eval num_timesteps=2960000, episode_reward=-0.33 +/- 0.00
Episode length: 409512.00 +/- 0.00
------------------------------------------
| eval/                   |              |
|    mean_ep_length       | 4.1e+05      |
|    mean_reward          | -0.326       |
| time/                   |              |
|    total_timesteps      | 2960000      |
| train/                  |              |
|    approx_kl            | 0.0011076636 |
|    clip_fraction        | 0.000278     |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.39        |
|    explained_variance   | -0.00457     |
|    learning_rate        | 0.0001       |
|    loss                 | -0.274       |
|    n_updates            | 20550        |
|    policy_gradient_loss | -0.00144     |
|    std                  | 52.8         |
|    value_loss           | 3.5e-06      |
------------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 1.69e+06 |
|    ep_rew_mean     | -1.08    |
| time/              |          |
|    fps             | 55       |
|    iterations      | 2056     |
|    time_elapsed    | 52928    |
|    total_timesteps | 2960640  |
---------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 1.69e+06 |
|    ep_rew_mean     | -1.08    |
| time/              |          |
|    fps             | 55       |
|    iterations      | 2056     |
|    time_elapsed    | 52928    |
|    total_timesteps | 2960640  |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 55           |
|    iterations           | 2057         |
|    time_elapsed         | 52928        |
|    total_timesteps      | 2962080      |
| train/                  |              |
|    approx_kl            | 0.0029132632 |
|    clip_fraction        | 0.00319      |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.39        |
|    explained_variance   | -0.021       |
|    learning_rate        | 0.0001       |
|    loss                 | -0.272       |
|    n_updates            | 20560        |
|    policy_gradient_loss | -0.00324     |
|    std                  | 52.9         |
|    value_loss           | 2.19e-06     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 55           |
|    iterations           | 2057         |
|    time_elapsed         | 52928        |
|    total_timesteps      | 2962080      |
| train/                  |              |
|    approx_kl            | 0.0029132632 |
|    clip_fraction        | 0.00319      |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.39        |
|    explained_variance   | -0.021       |
|    learning_rate        | 0.0001       |
|    loss                 | -0.272       |
|    n_updates            | 20560        |
|    policy_gradient_loss | -0.00324     |
|    std                  | 52.9         |
|    value_loss           | 2.19e-06     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 55           |
|    iterations           | 2058         |
|    time_elapsed         | 52928        |
|    total_timesteps      | 2963520      |
| train/                  |              |
|    approx_kl            | 0.0041012694 |
|    clip_fraction        | 0.00806      |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.39        |
|    explained_variance   | 0.0248       |
|    learning_rate        | 0.0001       |
|    loss                 | -0.272       |
|    n_updates            | 20570        |
|    policy_gradient_loss | -0.00237     |
|    std                  | 53.1         |
|    value_loss           | 4.11e-06     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 55           |
|    iterations           | 2058         |
|    time_elapsed         | 52928        |
|    total_timesteps      | 2963520      |
| train/                  |              |
|    approx_kl            | 0.0041012694 |
|    clip_fraction        | 0.00806      |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.39        |
|    explained_variance   | 0.0248       |
|    learning_rate        | 0.0001       |
|    loss                 | -0.272       |
|    n_updates            | 20570        |
|    policy_gradient_loss | -0.00237     |
|    std                  | 53.1         |
|    value_loss           | 4.11e-06     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 2059         |
|    time_elapsed         | 52929        |
|    total_timesteps      | 2964960      |
| train/                  |              |
|    approx_kl            | 0.0051986263 |
|    clip_fraction        | 0.0135       |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.39        |
|    explained_variance   | -0.0251      |
|    learning_rate        | 0.0001       |
|    loss                 | -0.274       |
|    n_updates            | 20580        |
|    policy_gradient_loss | -0.00325     |
|    std                  | 53.3         |
|    value_loss           | 3.76e-06     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 2059         |
|    time_elapsed         | 52929        |
|    total_timesteps      | 2964960      |
| train/                  |              |
|    approx_kl            | 0.0051986263 |
|    clip_fraction        | 0.0135       |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.39        |
|    explained_variance   | -0.0251      |
|    learning_rate        | 0.0001       |
|    loss                 | -0.274       |
|    n_updates            | 20580        |
|    policy_gradient_loss | -0.00325     |
|    std                  | 53.3         |
|    value_loss           | 3.76e-06     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 2060         |
|    time_elapsed         | 52929        |
|    total_timesteps      | 2966400      |
| train/                  |              |
|    approx_kl            | 0.0025215358 |
|    clip_fraction        | 0.00313      |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.4         |
|    explained_variance   | 0.00473      |
|    learning_rate        | 0.0001       |
|    loss                 | -0.28        |
|    n_updates            | 20590        |
|    policy_gradient_loss | -0.00228     |
|    std                  | 53.6         |
|    value_loss           | 1.87e-06     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 2060         |
|    time_elapsed         | 52929        |
|    total_timesteps      | 2966400      |
| train/                  |              |
|    approx_kl            | 0.0025215358 |
|    clip_fraction        | 0.00313      |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.4         |
|    explained_variance   | 0.00473      |
|    learning_rate        | 0.0001       |
|    loss                 | -0.28        |
|    n_updates            | 20590        |
|    policy_gradient_loss | -0.00228     |
|    std                  | 53.6         |
|    value_loss           | 1.87e-06     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 2061         |
|    time_elapsed         | 52929        |
|    total_timesteps      | 2967840      |
| train/                  |              |
|    approx_kl            | 0.0018501888 |
|    clip_fraction        | 0.00118      |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.4         |
|    explained_variance   | 0.00115      |
|    learning_rate        | 0.0001       |
|    loss                 | -0.275       |
|    n_updates            | 20600        |
|    policy_gradient_loss | -0.00194     |
|    std                  | 53.8         |
|    value_loss           | 1.75e-06     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 2061         |
|    time_elapsed         | 52929        |
|    total_timesteps      | 2967840      |
| train/                  |              |
|    approx_kl            | 0.0018501888 |
|    clip_fraction        | 0.00118      |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.4         |
|    explained_variance   | 0.00115      |
|    learning_rate        | 0.0001       |
|    loss                 | -0.275       |
|    n_updates            | 20600        |
|    policy_gradient_loss | -0.00194     |
|    std                  | 53.8         |
|    value_loss           | 1.75e-06     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 2062         |
|    time_elapsed         | 52929        |
|    total_timesteps      | 2969280      |
| train/                  |              |
|    approx_kl            | 0.0045600417 |
|    clip_fraction        | 0.0128       |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.4         |
|    explained_variance   | 0.00729      |
|    learning_rate        | 0.0001       |
|    loss                 | -0.283       |
|    n_updates            | 20610        |
|    policy_gradient_loss | -0.00517     |
|    std                  | 53.8         |
|    value_loss           | 1.97e-06     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 2062         |
|    time_elapsed         | 52929        |
|    total_timesteps      | 2969280      |
| train/                  |              |
|    approx_kl            | 0.0045600417 |
|    clip_fraction        | 0.0128       |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.4         |
|    explained_variance   | 0.00729      |
|    learning_rate        | 0.0001       |
|    loss                 | -0.283       |
|    n_updates            | 20610        |
|    policy_gradient_loss | -0.00517     |
|    std                  | 53.8         |
|    value_loss           | 1.97e-06     |
------------------------------------------
Eval num_timesteps=2970000, episode_reward=-0.26 +/- 0.00
Episode length: 409512.00 +/- 0.00
------------------------------------------
| eval/                   |              |
|    mean_ep_length       | 4.1e+05      |
|    mean_reward          | -0.259       |
| time/                   |              |
|    total_timesteps      | 2970000      |
| train/                  |              |
|    approx_kl            | 0.0021283112 |
|    clip_fraction        | 0.00153      |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.4         |
|    explained_variance   | 0.0304       |
|    learning_rate        | 0.0001       |
|    loss                 | -0.278       |
|    n_updates            | 20620        |
|    policy_gradient_loss | -0.00289     |
|    std                  | 53.8         |
|    value_loss           | 1.77e-06     |
------------------------------------------
Eval num_timesteps=2970000, episode_reward=-0.26 +/- 0.00
Episode length: 409512.00 +/- 0.00
------------------------------------------
| eval/                   |              |
|    mean_ep_length       | 4.1e+05      |
|    mean_reward          | -0.259       |
| time/                   |              |
|    total_timesteps      | 2970000      |
| train/                  |              |
|    approx_kl            | 0.0021283112 |
|    clip_fraction        | 0.00153      |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.4         |
|    explained_variance   | 0.0304       |
|    learning_rate        | 0.0001       |
|    loss                 | -0.278       |
|    n_updates            | 20620        |
|    policy_gradient_loss | -0.00289     |
|    std                  | 53.8         |
|    value_loss           | 1.77e-06     |
------------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 1.69e+06 |
|    ep_rew_mean     | -1.08    |
| time/              |          |
|    fps             | 55       |
|    iterations      | 2063     |
|    time_elapsed    | 53105    |
|    total_timesteps | 2970720  |
---------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 1.69e+06 |
|    ep_rew_mean     | -1.08    |
| time/              |          |
|    fps             | 55       |
|    iterations      | 2063     |
|    time_elapsed    | 53105    |
|    total_timesteps | 2970720  |
---------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 1.69e+06      |
|    ep_rew_mean          | -1.08         |
| time/                   |               |
|    fps                  | 55            |
|    iterations           | 2064          |
|    time_elapsed         | 53105         |
|    total_timesteps      | 2972160       |
| train/                  |               |
|    approx_kl            | 0.00059023086 |
|    clip_fraction        | 0             |
|    clip_range           | 0.25          |
|    entropy_loss         | -5.4          |
|    explained_variance   | 0.00166       |
|    learning_rate        | 0.0001        |
|    loss                 | -0.27         |
|    n_updates            | 20630         |
|    policy_gradient_loss | -0.000823     |
|    std                  | 53.9          |
|    value_loss           | 2.5e-06       |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 1.69e+06      |
|    ep_rew_mean          | -1.08         |
| time/                   |               |
|    fps                  | 55            |
|    iterations           | 2064          |
|    time_elapsed         | 53105         |
|    total_timesteps      | 2972160       |
| train/                  |               |
|    approx_kl            | 0.00059023086 |
|    clip_fraction        | 0             |
|    clip_range           | 0.25          |
|    entropy_loss         | -5.4          |
|    explained_variance   | 0.00166       |
|    learning_rate        | 0.0001        |
|    loss                 | -0.27         |
|    n_updates            | 20630         |
|    policy_gradient_loss | -0.000823     |
|    std                  | 53.9          |
|    value_loss           | 2.5e-06       |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 55           |
|    iterations           | 2065         |
|    time_elapsed         | 53105        |
|    total_timesteps      | 2973600      |
| train/                  |              |
|    approx_kl            | 0.0018811448 |
|    clip_fraction        | 0.00458      |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.41        |
|    explained_variance   | 0.00115      |
|    learning_rate        | 0.0001       |
|    loss                 | -0.27        |
|    n_updates            | 20640        |
|    policy_gradient_loss | -0.00184     |
|    std                  | 54           |
|    value_loss           | 1.48e-06     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 55           |
|    iterations           | 2065         |
|    time_elapsed         | 53105        |
|    total_timesteps      | 2973600      |
| train/                  |              |
|    approx_kl            | 0.0018811448 |
|    clip_fraction        | 0.00458      |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.41        |
|    explained_variance   | 0.00115      |
|    learning_rate        | 0.0001       |
|    loss                 | -0.27        |
|    n_updates            | 20640        |
|    policy_gradient_loss | -0.00184     |
|    std                  | 54           |
|    value_loss           | 1.48e-06     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 2066         |
|    time_elapsed         | 53106        |
|    total_timesteps      | 2975040      |
| train/                  |              |
|    approx_kl            | 0.0014840454 |
|    clip_fraction        | 0.00264      |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.41        |
|    explained_variance   | -0.00139     |
|    learning_rate        | 0.0001       |
|    loss                 | -0.276       |
|    n_updates            | 20650        |
|    policy_gradient_loss | -0.00254     |
|    std                  | 54.1         |
|    value_loss           | 3.67e-06     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 2066         |
|    time_elapsed         | 53106        |
|    total_timesteps      | 2975040      |
| train/                  |              |
|    approx_kl            | 0.0014840454 |
|    clip_fraction        | 0.00264      |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.41        |
|    explained_variance   | -0.00139     |
|    learning_rate        | 0.0001       |
|    loss                 | -0.276       |
|    n_updates            | 20650        |
|    policy_gradient_loss | -0.00254     |
|    std                  | 54.1         |
|    value_loss           | 3.67e-06     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 2067         |
|    time_elapsed         | 53106        |
|    total_timesteps      | 2976480      |
| train/                  |              |
|    approx_kl            | 0.0031118146 |
|    clip_fraction        | 0.0123       |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.41        |
|    explained_variance   | 0.00259      |
|    learning_rate        | 0.0001       |
|    loss                 | -0.276       |
|    n_updates            | 20660        |
|    policy_gradient_loss | -0.00288     |
|    std                  | 54.3         |
|    value_loss           | 1.78e-06     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 2067         |
|    time_elapsed         | 53106        |
|    total_timesteps      | 2976480      |
| train/                  |              |
|    approx_kl            | 0.0031118146 |
|    clip_fraction        | 0.0123       |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.41        |
|    explained_variance   | 0.00259      |
|    learning_rate        | 0.0001       |
|    loss                 | -0.276       |
|    n_updates            | 20660        |
|    policy_gradient_loss | -0.00288     |
|    std                  | 54.3         |
|    value_loss           | 1.78e-06     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 2068         |
|    time_elapsed         | 53106        |
|    total_timesteps      | 2977920      |
| train/                  |              |
|    approx_kl            | 0.0036974214 |
|    clip_fraction        | 0.00778      |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.42        |
|    explained_variance   | -0.00079     |
|    learning_rate        | 0.0001       |
|    loss                 | -0.281       |
|    n_updates            | 20670        |
|    policy_gradient_loss | -0.00313     |
|    std                  | 54.6         |
|    value_loss           | 3.88e-06     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 2068         |
|    time_elapsed         | 53106        |
|    total_timesteps      | 2977920      |
| train/                  |              |
|    approx_kl            | 0.0036974214 |
|    clip_fraction        | 0.00778      |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.42        |
|    explained_variance   | -0.00079     |
|    learning_rate        | 0.0001       |
|    loss                 | -0.281       |
|    n_updates            | 20670        |
|    policy_gradient_loss | -0.00313     |
|    std                  | 54.6         |
|    value_loss           | 3.88e-06     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 2069         |
|    time_elapsed         | 53106        |
|    total_timesteps      | 2979360      |
| train/                  |              |
|    approx_kl            | 0.0039046202 |
|    clip_fraction        | 0.0121       |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.42        |
|    explained_variance   | 0.00658      |
|    learning_rate        | 0.0001       |
|    loss                 | -0.275       |
|    n_updates            | 20680        |
|    policy_gradient_loss | -0.00217     |
|    std                  | 54.6         |
|    value_loss           | 1.04e-05     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 2069         |
|    time_elapsed         | 53106        |
|    total_timesteps      | 2979360      |
| train/                  |              |
|    approx_kl            | 0.0039046202 |
|    clip_fraction        | 0.0121       |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.42        |
|    explained_variance   | 0.00658      |
|    learning_rate        | 0.0001       |
|    loss                 | -0.275       |
|    n_updates            | 20680        |
|    policy_gradient_loss | -0.00217     |
|    std                  | 54.6         |
|    value_loss           | 1.04e-05     |
------------------------------------------
Eval num_timesteps=2980000, episode_reward=-0.27 +/- 0.00
Episode length: 409512.00 +/- 0.00
-----------------------------------------
| eval/                   |             |
|    mean_ep_length       | 4.1e+05     |
|    mean_reward          | -0.265      |
| time/                   |             |
|    total_timesteps      | 2980000     |
| train/                  |             |
|    approx_kl            | 0.010053709 |
|    clip_fraction        | 0.029       |
|    clip_range           | 0.25        |
|    entropy_loss         | -5.42       |
|    explained_variance   | -0.00236    |
|    learning_rate        | 0.0001      |
|    loss                 | -0.282      |
|    n_updates            | 20690       |
|    policy_gradient_loss | -0.00519    |
|    std                  | 54.5        |
|    value_loss           | 3.42e-06    |
-----------------------------------------
Eval num_timesteps=2980000, episode_reward=-0.27 +/- 0.00
Episode length: 409512.00 +/- 0.00
-----------------------------------------
| eval/                   |             |
|    mean_ep_length       | 4.1e+05     |
|    mean_reward          | -0.265      |
| time/                   |             |
|    total_timesteps      | 2980000     |
| train/                  |             |
|    approx_kl            | 0.010053709 |
|    clip_fraction        | 0.029       |
|    clip_range           | 0.25        |
|    entropy_loss         | -5.42       |
|    explained_variance   | -0.00236    |
|    learning_rate        | 0.0001      |
|    loss                 | -0.282      |
|    n_updates            | 20690       |
|    policy_gradient_loss | -0.00519    |
|    std                  | 54.5        |
|    value_loss           | 3.42e-06    |
-----------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 1.69e+06 |
|    ep_rew_mean     | -1.08    |
| time/              |          |
|    fps             | 55       |
|    iterations      | 2070     |
|    time_elapsed    | 53282    |
|    total_timesteps | 2980800  |
---------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 1.69e+06 |
|    ep_rew_mean     | -1.08    |
| time/              |          |
|    fps             | 55       |
|    iterations      | 2070     |
|    time_elapsed    | 53282    |
|    total_timesteps | 2980800  |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.69e+06    |
|    ep_rew_mean          | -1.08       |
| time/                   |             |
|    fps                  | 55          |
|    iterations           | 2071        |
|    time_elapsed         | 53282       |
|    total_timesteps      | 2982240     |
| train/                  |             |
|    approx_kl            | 0.004937687 |
|    clip_fraction        | 0.0109      |
|    clip_range           | 0.25        |
|    entropy_loss         | -5.42       |
|    explained_variance   | -0.00145    |
|    learning_rate        | 0.0001      |
|    loss                 | -0.274      |
|    n_updates            | 20700       |
|    policy_gradient_loss | -0.00241    |
|    std                  | 54.6        |
|    value_loss           | 2.79e-06    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.69e+06    |
|    ep_rew_mean          | -1.08       |
| time/                   |             |
|    fps                  | 55          |
|    iterations           | 2071        |
|    time_elapsed         | 53282       |
|    total_timesteps      | 2982240     |
| train/                  |             |
|    approx_kl            | 0.004937687 |
|    clip_fraction        | 0.0109      |
|    clip_range           | 0.25        |
|    entropy_loss         | -5.42       |
|    explained_variance   | -0.00145    |
|    learning_rate        | 0.0001      |
|    loss                 | -0.274      |
|    n_updates            | 20700       |
|    policy_gradient_loss | -0.00241    |
|    std                  | 54.6        |
|    value_loss           | 2.79e-06    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.69e+06    |
|    ep_rew_mean          | -1.08       |
| time/                   |             |
|    fps                  | 55          |
|    iterations           | 2072        |
|    time_elapsed         | 53282       |
|    total_timesteps      | 2983680     |
| train/                  |             |
|    approx_kl            | 0.001455659 |
|    clip_fraction        | 0.000208    |
|    clip_range           | 0.25        |
|    entropy_loss         | -5.42       |
|    explained_variance   | -0.0188     |
|    learning_rate        | 0.0001      |
|    loss                 | -0.272      |
|    n_updates            | 20710       |
|    policy_gradient_loss | -0.0014     |
|    std                  | 54.5        |
|    value_loss           | 3.46e-06    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.69e+06    |
|    ep_rew_mean          | -1.08       |
| time/                   |             |
|    fps                  | 55          |
|    iterations           | 2072        |
|    time_elapsed         | 53282       |
|    total_timesteps      | 2983680     |
| train/                  |             |
|    approx_kl            | 0.001455659 |
|    clip_fraction        | 0.000208    |
|    clip_range           | 0.25        |
|    entropy_loss         | -5.42       |
|    explained_variance   | -0.0188     |
|    learning_rate        | 0.0001      |
|    loss                 | -0.272      |
|    n_updates            | 20710       |
|    policy_gradient_loss | -0.0014     |
|    std                  | 54.5        |
|    value_loss           | 3.46e-06    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
